pitch_angle,pitch_target,pitch_speed,pitch_speed_target,pitch_output,pitch_angle_kp,pitch_angle_ki,pitch_angle_kd,pitch_speed_kp,pitch_speed_ki,pitch_speed_kd,pitch_ff_output,yaw_ff_output
0.84,0.00,0.00,-62.48,-1242.03,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.46,-1242.17,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.45,-1242.38,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.46,-1242.76,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.48,-1243.27,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.48,-1243.66,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.50,-1244.14,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.50,-1244.41,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.49,-1244.68,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.50,-1245.08,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.51,-1245.46,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.51,-1245.85,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.53,-1246.29,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.53,-1246.64,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.51,-1246.78,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.51,-1247.02,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.53,-1247.56,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.53,-1247.86,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.52,-1248.07,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.53,-1248.47,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.54,-1248.91,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.55,-1249.40,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.57,-1249.84,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.54,-1249.89,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.54,-1250.18,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.53,-1250.44,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.56,-1251.07,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.58,-1251.54,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.60,-1252.09,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.61,-1252.52,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.66,-1253.31,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.69,-1253.93,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.70,-1254.38,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.71,-1254.74,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.70,-1255.02,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.72,-1255.52,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.73,-1255.89,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.75,-1256.42,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.76,-1256.84,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.77,-1257.25,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.75,-1257.46,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.76,-1257.85,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.77,-1258.29,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.77,-1258.54,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.79,-1259.04,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.77,-1259.23,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.77,-1259.50,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.76,-1259.71,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.76,-1260.04,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.76,-1260.37,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.77,-1260.77,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.78,-1261.16,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.79,-1261.59,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.79,-1261.89,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.82,-1262.51,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.85,-1263.15,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.89,-1263.86,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.92,-1264.49,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.93,-1264.92,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.93,-1265.31,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.94,-1265.70,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.94,-1265.99,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.95,-1266.39,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.95,-1266.73,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.97,-1267.22,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.97,-1267.54,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.96,-1267.73,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.95,-1267.98,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.95,-1268.31,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.96,-1268.69,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.97,-1269.15,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.85,0.00,0.00,-62.98,-1269.54,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.97,-1269.75,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.97,-1270.07,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.96,-1270.26,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.95,-1270.48,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.94,-1270.71,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.95,-1271.12,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.96,-1271.51,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.97,-1272.01,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.96,-1272.19,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.98,-1272.71,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.99,-1273.17,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.99,-1273.44,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-63.00,-1273.82,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.99,-1274.07,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.99,-1274.36,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.99,-1274.67,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.98,-1274.93,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.96,-1275.07,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.94,-1275.17,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.94,-1275.41,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.92,-1275.59,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.94,-1276.05,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.93,-1276.33,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.84,0.00,0.00,-62.91,-1276.43,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.83,0.00,0.00,-62.91,-1276.65,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
0.83,0.00,0.00,-62.90,-1276.87,21.00,1.50,0.00,10.50,1.00,0.00,0.00,0.00
